Index,HourType,LongAcc,LatAcc,Speed
735,Rush Hour,0.024464832,0,27.64
736,Rush Hour,0.022426096,0,27.58
737,Rush Hour,0.028542304,0,27.68
738,Rush Hour,0.024464832,0,27.64
739,Rush Hour,0.032619776,0,27.72
740,Rush Hour,0.028542304,0,27.68
741,Rush Hour,0.014271152,0,27.64
742,Rush Hour,0.036697248,0,27.6
743,Rush Hour,0.014271152,0,27.64
744,Rush Hour,0.009174312,0,27.68
745,Rush Hour,0.012232416,0,27.72
746,Non Rush Hour,0.028542304,0,29.66
747,Non Rush Hour,0.034658512,0,29.78
748,Non Rush Hour,0.03058104,0,29.8
749,Non Rush Hour,0.031600408,0,29.86
750,Non Rush Hour,0.041794088,0,29.92
751,Non Rush Hour,0.031600408,0,29.88
752,Non Rush Hour,0.031600408,0,29.94
753,Non Rush Hour,0.034658512,0,30
754,Non Rush Hour,0.039755352,0,30.06
755,Non Rush Hour,0.03058104,0,30.02
756,Non Rush Hour,0.03058104,0,30.08
757,Non Rush Hour,0.03567788,0,30.14
758,Non Rush Hour,0.04077472,0,30.2
759,Non Rush Hour,0.027522936,0,30.14
760,Non Rush Hour,0.028542304,0,30.2
761,Non Rush Hour,0.028542304,0,30.2
762,Non Rush Hour,0.033639144,0,30.26
763,Non Rush Hour,0.039755352,0,30.32
764,Non Rush Hour,0.039755352,0,30.32
765,Non Rush Hour,0.03567788,0,30.32
766,Non Rush Hour,0.03567788,0,30.32
767,Non Rush Hour,0.038735984,0,30.38
768,Non Rush Hour,0.038735984,0,30.38
769,Non Rush Hour,0.043832824,0,30.44
770,Non Rush Hour,0.043832824,0,30.82
771,Non Rush Hour,0.047910296,0,30.88
772,Non Rush Hour,0.039755352,0,28.86
773,Non Rush Hour,0.039755352,0,28.86
774,Non Rush Hour,0.053007136,0,28.86
775,Non Rush Hour,0.0509684,0,28.88
776,Non Rush Hour,0.053007136,0,28.86
777,Non Rush Hour,0.043832824,0,28.88
778,Non Rush Hour,0.0509684,0,28.88
779,Non Rush Hour,0.03567788,0,29
780,Non Rush Hour,0.043832824,0,28.88
781,Non Rush Hour,0.042813456,0,29
782,Non Rush Hour,0.03567788,0,29
783,Non Rush Hour,0.038735984,0,29.02
784,Non Rush Hour,0.037716616,0,29.02
785,Non Rush Hour,0.038735984,0,29.02
786,Non Rush Hour,0.03058104,0,29.12
787,Non Rush Hour,0.038735984,0,29.12
