Index,HourType,YawRate,Speed,Heading
488,Rush Hour,-0.29,23.84,91.0125
489,Rush Hour,-0.29,23.84,91.0125
490,Rush Hour,-0.29,23.84,91.0125
491,Rush Hour,-0.13,23.9,90.9
492,Rush Hour,-0.13,23.9,90.9
493,Rush Hour,-0.13,23.9,90.9
494,Rush Hour,-0.29,23.9,90.8875
495,Rush Hour,-0.29,23.9,90.8875
496,Rush Hour,-0.32,23.92,90.8875
497,Rush Hour,-0.32,23.92,90.8875
498,Rush Hour,-0.32,23.92,90.8875
499,Rush Hour,-0.28,23.92,90.875
500,Rush Hour,-0.28,23.92,90.875
501,Rush Hour,-0.28,23.92,90.875
502,Rush Hour,-0.21,23.92,90.8625
503,Rush Hour,-0.21,23.92,90.8625
504,Rush Hour,0.19,23.88,91.05
505,Rush Hour,0.19,23.88,91.05
506,Rush Hour,0.7,23.96,90.9375
507,Rush Hour,-0.33,24,91.025
508,Rush Hour,-0.33,24,91.025
509,Rush Hour,-0.11,24,91.0125
510,Rush Hour,0.01,24.04,91.1875
511,Rush Hour,-0.04,24.12,91.15
512,Rush Hour,-0.04,24.12,91.15
513,Rush Hour,7.46,11.38,46.75
514,Rush Hour,7.37,11.4,47.3625
515,Rush Hour,7.5,11.3,48.9625
516,Rush Hour,7.3,11.38,50.925
517,Rush Hour,7.72,11.3,52.6875
518,Rush Hour,7.83,11.32,53.3625
519,Rush Hour,-0.19,24.18,91.1375
520,Rush Hour,-0.19,24.18,91.1375
521,Rush Hour,-0.23,24.18,91.125
522,Rush Hour,-0.23,24.18,91.125
523,Rush Hour,-0.14,24.22,91.1625
524,Rush Hour,-0.14,24.22,91.1625
525,Rush Hour,-0.07,24.22,91.1625
526,Rush Hour,-0.07,24.22,91.1625
527,Rush Hour,-0.31,24.26,91.0125
528,Rush Hour,-0.31,24.26,91.0125
529,Rush Hour,-0.37,24.26,91
530,Rush Hour,-0.37,24.26,91
531,Rush Hour,-0.62,24.32,90.8625
532,Rush Hour,-0.62,24.32,90.8625
533,Rush Hour,-0.62,24.32,90.9375
534,Rush Hour,-0.36,24.32,90.9125
535,Rush Hour,-0.16,24.4,91.25
536,Rush Hour,-0.16,24.4,91.25
537,Rush Hour,0.23,28.5,91.2375
538,Rush Hour,0.21,28.56,91.275
539,Rush Hour,0.29,28.58,91.3
540,Rush Hour,0.44,28.64,91.3375
541,Rush Hour,0.36,28.68,91.3875
542,Rush Hour,0.3,28.68,91.425
543,Rush Hour,0.43,28.6,91.475
544,Rush Hour,0.26,28.62,91.5125
545,Rush Hour,0.21,28.62,91.5375
546,Rush Hour,0.66,24.62,92.1875
547,Rush Hour,0.48,24.68,92.3
548,Rush Hour,0.41,24.72,92.175
549,Rush Hour,0.08,24.72,92.1875
550,Rush Hour,-0.09,24.78,92.325
551,Rush Hour,0.12,24.78,92.325
552,Rush Hour,-0.09,24.84,92.1625
553,Rush Hour,-0.23,24.84,92.1625
554,Rush Hour,-0.15,24.92,92.2125
555,Rush Hour,-0.08,24.92,92.2125
556,Rush Hour,-0.08,24.92,92.2125
557,Rush Hour,0.37,24.88,92.375
558,Rush Hour,0.37,24.88,92.375
559,Rush Hour,0.67,24.94,92.525
560,Rush Hour,0.67,24.94,92.525
561,Rush Hour,0.68,24.94,92.55
562,Rush Hour,1.14,25,92.825
563,Rush Hour,1.15,25,92.875
564,Rush Hour,0.43,24.94,92.575
565,Rush Hour,-0.45,24.7,91.3375
566,Rush Hour,-0.35,24.76,91.3375
567,Rush Hour,-0.35,24.76,91.3375
568,Rush Hour,-0.35,24.76,91.3375
569,Rush Hour,-0.32,24.84,91.2625
570,Rush Hour,-0.32,24.84,91.2625
571,Rush Hour,-0.32,24.84,91.2625
572,Rush Hour,-0.24,24.9,91.225
573,Rush Hour,0.06,24.92,91.2875
574,Rush Hour,0.06,24.92,91.2875
575,Rush Hour,0.24,25.02,91.45
576,Rush Hour,0.79,25.16,91.7375
577,Rush Hour,0.79,25.16,91.7375
578,Rush Hour,1.3,25.1,92.0125
579,Rush Hour,1.3,25.1,92.0125
580,Rush Hour,1.56,25.28,92.4
581,Rush Hour,1.56,25.28,92.4
582,Rush Hour,8.54,15.52,44.1375
583,Rush Hour,7.86,15.74,46.8875
584,Rush Hour,7.85,15.78,47.7125
585,Rush Hour,7.9,15.78,48.3625
586,Rush Hour,-0.07,28.02,91.025
587,Rush Hour,-0.07,28.02,91.025
588,Rush Hour,0.31,28.14,91.1125
589,Rush Hour,0.31,28.14,91.1125
590,Rush Hour,0.7,28.1,91.25
591,Rush Hour,0.7,28.1,91.25
592,Rush Hour,0.92,28.22,91.325
593,Rush Hour,0.92,28.22,91.325
594,Rush Hour,0.91,28.32,91.3625
595,Rush Hour,0.91,28.32,91.3625
596,Rush Hour,0.65,28.42,91.325
597,Rush Hour,0.65,28.42,91.325
598,Rush Hour,0.78,28.42,91.525
599,Rush Hour,0.78,28.42,91.525
600,Rush Hour,0.67,28.54,91.5125
601,Rush Hour,0.67,28.54,91.5125
602,Rush Hour,-0.31,29,91.35
603,Rush Hour,-0.44,29.12,91.325
604,Rush Hour,-0.44,29.12,91.325
605,Rush Hour,-0.22,29.12,91.4
606,Rush Hour,-0.22,29.12,91.4
607,Rush Hour,-0.09,29.24,91.3875
608,Rush Hour,-0.09,29.24,91.3875
609,Rush Hour,-0.02,29.32,91.375
610,Rush Hour,-0.04,29.4,91.35
611,Rush Hour,-0.04,29.4,91.35
612,Rush Hour,-0.46,28.74,91.6125
613,Rush Hour,-0.47,28.74,91.6
614,Rush Hour,-0.46,28.74,91.6125
615,Rush Hour,-0.47,28.74,91.6
616,Rush Hour,-0.49,28.86,91.5875
617,Rush Hour,-0.23,28.86,91.575
618,Rush Hour,-0.17,29.04,91.45
